time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-03-08T21:00:00.0000000Z,2018-03-09T00:00:00.0000000Z,2018-03-08T21:00:00.0980000Z,2018-03-08T23:59:59.0580000Z,9394.99,9472.9,9217.2,9304.89,6465.284124364,21397
2018-03-09T00:00:00.0000000Z,2018-03-09T03:00:00.0000000Z,2018-03-09T00:00:00.0000000Z,2018-03-09T02:59:59.0630000Z,9293.06,9427.9,8872.91,9014.99,15338.51655097,44948
2018-03-09T03:00:00.0000000Z,2018-03-09T06:00:00.0000000Z,2018-03-09T03:00:01.0850000Z,2018-03-09T05:59:59.0000000Z,9015.0,9068.58,8455.1,8500.0,18312.088806799,50386
2018-03-09T06:00:00.0000000Z,2018-03-09T09:00:00.0000000Z,2018-03-09T06:00:01.0000000Z,2018-03-09T08:59:59.8300000Z,8507.46,8916.9,8366.0,8680.0,16206.086630986,43080
2018-03-09T09:00:00.0000000Z,2018-03-09T12:00:00.0000000Z,2018-03-09T09:00:00.0000000Z,2018-03-09T11:59:59.6280000Z,8701.47,8983.1,8398.24,8955.6,10100.221004927,34513
2018-03-09T12:00:00.0000000Z,2018-03-09T15:00:00.0000000Z,2018-03-09T12:00:00.0510000Z,2018-03-09T14:59:59.3730000Z,8952.79,9169.0,8830.0,9150.53,9323.562954173,40445
2018-03-09T15:00:00.0000000Z,2018-03-09T18:00:00.0000000Z,2018-03-09T15:00:00.0000000Z,2018-03-09T17:59:58.0330000Z,9166.55,9171.99,8600.0,8763.96,13503.882131015,44100
2018-03-09T18:00:00.0000000Z,2018-03-09T21:00:00.0000000Z,2018-03-09T18:00:01.0000000Z,2018-03-09T20:59:59.5820000Z,8754.35,9026.1,8613.6,8992.41,9670.324577197,30683
2018-03-09T21:00:00.0000000Z,2018-03-10T00:00:00.0000000Z,2018-03-09T21:00:00.0000000Z,2018-03-09T23:59:59.0000000Z,8990.01,9363.16,8930.0,9230.0,10729.674245758,34905
2018-03-10T00:00:00.0000000Z,2018-03-10T03:00:00.0000000Z,2018-03-10T00:00:00.0000000Z,2018-03-10T02:59:58.5150000Z,9228.83,9451.7,9210.0,9300.74,8125.949439272,29731
2018-03-10T03:00:00.0000000Z,2018-03-10T06:00:00.0000000Z,2018-03-10T03:00:00.0000000Z,2018-03-10T05:59:58.3060000Z,9287.19,9397.21,9119.54,9361.0,4980.508865098,30814
2018-03-10T06:00:00.0000000Z,2018-03-10T09:00:00.0000000Z,2018-03-10T06:00:00.3730000Z,2018-03-10T08:59:59.6530000Z,9360.1,9518.77,9330.02,9343.61,4826.132304462,31840
2018-03-10T09:00:00.0000000Z,2018-03-10T12:00:00.0000000Z,2018-03-10T09:00:00.9560000Z,2018-03-10T11:59:59.5750000Z,9350.3,9426.0,9164.6,9371.99,3630.219003194,24752
2018-03-10T12:00:00.0000000Z,2018-03-10T15:00:00.0000000Z,2018-03-10T12:00:00.7270000Z,2018-03-10T14:59:59.6620000Z,9364.4,9497.08,9231.1,9449.0,3086.743726405,27957
2018-03-10T15:00:00.0000000Z,2018-03-10T18:00:00.0000000Z,2018-03-10T15:00:00.4330000Z,2018-03-10T17:59:59.0000000Z,9447.0,9491.23,9108.9,9142.34,5281.966365389,21261
2018-03-10T18:00:00.0000000Z,2018-03-10T21:00:00.0000000Z,2018-03-10T18:00:00.0000000Z,2018-03-10T20:59:57.8540000Z,9142.33,9172.01,8804.0,8885.0,9071.667455873,30096
2018-03-10T21:00:00.0000000Z,2018-03-11T00:00:00.0000000Z,2018-03-10T21:00:00.0230000Z,2018-03-10T23:59:56.0000000Z,8860.0,8900.0,8653.0,8791.47,7616.352881396,26112
2018-03-11T00:00:00.0000000Z,2018-03-11T03:00:00.0000000Z,2018-03-11T00:00:03.0000000Z,2018-03-11T02:59:59.5330000Z,8795.04,8806.78,8434.1,8748.0,9133.271680874,34839
2018-03-11T03:00:00.0000000Z,2018-03-11T06:00:00.0000000Z,2018-03-11T03:00:00.0000000Z,2018-03-11T05:59:59.0000000Z,8710.82,8854.29,8500.0,8828.26,4911.383023945,24654
2018-03-11T06:00:00.0000000Z,2018-03-11T09:00:00.0000000Z,2018-03-11T06:00:00.0000000Z,2018-03-11T08:59:58.3310000Z,8821.4,8879.75,8620.0,8782.8,3388.212859998,14119
2018-03-11T09:00:00.0000000Z,2018-03-11T12:00:00.0000000Z,2018-03-11T09:00:00.4120000Z,2018-03-11T11:59:59.7850000Z,8818.2,9119.53,8545.0,9066.2,4975.045563938,18605
2018-03-11T12:00:00.0000000Z,2018-03-11T15:00:00.0000000Z,2018-03-11T12:00:00.0000000Z,2018-03-11T14:59:59.0000000Z,9050.05,9383.5,9012.1,9227.29,7806.34902401,32431
2018-03-11T15:00:00.0000000Z,2018-03-11T18:00:00.0000000Z,2018-03-11T15:00:00.2980000Z,2018-03-11T17:59:59.4450000Z,9203.26,9704.1,9041.1,9637.0,11071.682410074,38001
2018-03-11T18:00:00.0000000Z,2018-03-11T21:00:00.0000000Z,2018-03-11T18:00:00.0000000Z,2018-03-11T20:59:58.0000000Z,9648.0,9750.0,9425.1,9650.0,9607.303632639,34742
2018-03-11T21:00:00.0000000Z,2018-03-12T00:00:00.0000000Z,2018-03-11T21:00:01.0000000Z,2018-03-11T23:59:59.0000000Z,9650.0,9772.42,9401.2,9535.04,7018.695990542,30762
2018-03-12T00:00:00.0000000Z,2018-03-12T03:00:00.0000000Z,2018-03-12T00:00:00.6910000Z,2018-03-12T02:59:56.6830000Z,9533.88,9721.1,9462.69,9575.08,4588.132626385,22009
2018-03-12T03:00:00.0000000Z,2018-03-12T06:00:00.0000000Z,2018-03-12T03:00:01.0000000Z,2018-03-12T05:59:59.0000000Z,9584.97,9639.3,9310.0,9566.24,5297.524428454,21780
2018-03-12T06:00:00.0000000Z,2018-03-12T09:00:00.0000000Z,2018-03-12T06:00:00.0000000Z,2018-03-12T08:59:56.8850000Z,9573.2,9694.98,9470.0,9526.0,3534.887694623,14639
2018-03-12T09:00:00.0000000Z,2018-03-12T12:00:00.0000000Z,2018-03-12T09:00:00.0000000Z,2018-03-12T11:59:58.8870000Z,9536.26,9899.9,9500.0,9838.65,6352.833449717,23065
2018-03-12T12:00:00.0000000Z,2018-03-12T15:00:00.0000000Z,2018-03-12T12:00:02.0000000Z,2018-03-12T14:59:59.0480000Z,9828.99,9840.0,9202.01,9236.0,9185.401267051,33190
2018-03-12T15:00:00.0000000Z,2018-03-12T18:00:00.0000000Z,2018-03-12T15:00:00.0000000Z,2018-03-12T17:59:59.6530000Z,9251.97,9348.43,8987.67,9175.0,12452.702289266,40751
2018-03-12T18:00:00.0000000Z,2018-03-12T21:00:00.0000000Z,2018-03-12T18:00:02.1620000Z,2018-03-12T20:59:59.4960000Z,9166.4,9261.3,8742.07,9019.95,12567.856467674,38232
2018-03-12T21:00:00.0000000Z,2018-03-13T00:00:00.0000000Z,2018-03-12T21:00:00.9010000Z,2018-03-12T23:59:59.6140000Z,9013.79,9222.14,8913.18,9110.39,6327.783995272,27179
2018-03-13T00:00:00.0000000Z,2018-03-13T03:00:00.0000000Z,2018-03-13T00:00:01.5620000Z,2018-03-13T02:59:55.6660000Z,9120.0,9278.29,9015.69,9120.96,5111.787505246,26910
2018-03-13T03:00:00.0000000Z,2018-03-13T06:00:00.0000000Z,2018-03-13T03:00:06.5480000Z,2018-03-13T05:59:58.5250000Z,9115.1,9460.0,8952.0,9390.0,7724.439327088,32281
2018-03-13T06:00:00.0000000Z,2018-03-13T09:00:00.0000000Z,2018-03-13T06:00:00.0000000Z,2018-03-13T08:59:45.5210000Z,9383.45,9500.0,9045.8,9154.0,5816.648899772,23724
